FORECASTING CASE,FISCAL YEAR,MONTH,INFLOWS/OUTFLOWS,DESCRIPTION,AMOUNT
1,2021,1,Balance,Ending Balance,8020
1,2021,2,Balance,Ending Balance,4131
1,2021,3,Balance,Ending Balance,6508
1,2021,4,Balance,Ending Balance,4537
1,2021,5,Balance,Ending Balance,2224
1,2021,6,Balance,Ending Balance,6949
1,2021,7,Balance,Ending Balance,10651
1,2021,8,Balance,Ending Balance,6379
1,2021,9,Balance,Ending Balance,6321
1,2021,10,Balance,Ending Balance,3696
1,2021,11,Balance,Ending Balance,1418
1,2021,12,Balance,Ending Balance,5830
2,2021,1,Balance,Ending Balance,8690
2,2021,2,Balance,Ending Balance,4857
2,2021,3,Balance,Ending Balance,7601
2,2021,4,Balance,Ending Balance,5751
2,2021,5,Balance,Ending Balance,3508
2,2021,6,Balance,Ending Balance,7238
2,2021,7,Balance,Ending Balance,10651
2,2021,8,Balance,Ending Balance,6379
2,2021,9,Balance,Ending Balance,7282
2,2021,10,Balance,Ending Balance,4406
2,2021,11,Balance,Ending Balance,1931
2,2021,12,Balance,Ending Balance,6346
3,2021,1,Balance,Ending Balance,9483
3,2021,2,Balance,Ending Balance,5638
3,2021,3,Balance,Ending Balance,8357
3,2021,4,Balance,Ending Balance,6637
3,2021,5,Balance,Ending Balance,4351
3,2021,6,Balance,Ending Balance,7582
3,2021,7,Balance,Ending Balance,10651
3,2021,8,Balance,Ending Balance,6379
3,2021,9,Balance,Ending Balance,7282
3,2021,10,Balance,Ending Balance,5551
3,2021,11,Balance,Ending Balance,2552
3,2021,12,Balance,Ending Balance,7278
4,2021,1,Balance,Ending Balance,8684
4,2021,2,Balance,Ending Balance,4864
4,2021,3,Balance,Ending Balance,6772
4,2021,4,Balance,Ending Balance,5907
4,2021,5,Balance,Ending Balance,4368
4,2021,6,Balance,Ending Balance,7466
4,2021,7,Balance,Ending Balance,10651
4,2021,8,Balance,Ending Balance,6379
4,2021,9,Balance,Ending Balance,7282
4,2021,10,Balance,Ending Balance,5551
4,2021,11,Balance,Ending Balance,2241
4,2021,12,Balance,Ending Balance,6348
5,2021,1,Balance,Ending Balance,9237
5,2021,2,Balance,Ending Balance,5395
5,2021,3,Balance,Ending Balance,7876
5,2021,4,Balance,Ending Balance,6578
5,2021,5,Balance,Ending Balance,4821
5,2021,6,Balance,Ending Balance,7258
5,2021,7,Balance,Ending Balance,10651
5,2021,8,Balance,Ending Balance,6379
5,2021,9,Balance,Ending Balance,7282
5,2021,10,Balance,Ending Balance,5551
5,2021,11,Balance,Ending Balance,2241
5,2021,12,Balance,Ending Balance,7724
6,2021,1,Balance,Ending Balance,10326
6,2021,2,Balance,Ending Balance,6563
6,2021,3,Balance,Ending Balance,9314
6,2021,4,Balance,Ending Balance,8169
6,2021,5,Balance,Ending Balance,6706
6,2021,6,Balance,Ending Balance,7252
6,2021,7,Balance,Ending Balance,10651
6,2021,8,Balance,Ending Balance,6379
6,2021,9,Balance,Ending Balance,7282
6,2021,10,Balance,Ending Balance,5551
6,2021,11,Balance,Ending Balance,2241
6,2021,12,Balance,Ending Balance,7724
7,2021,1,Balance,Ending Balance,10326
7,2021,2,Balance,Ending Balance,7294
7,2021,3,Balance,Ending Balance,9766
7,2021,4,Balance,Ending Balance,8449
7,2021,5,Balance,Ending Balance,7138
7,2021,6,Balance,Ending Balance,7256
7,2021,7,Balance,Ending Balance,10651
7,2021,8,Balance,Ending Balance,6379
7,2021,9,Balance,Ending Balance,7282
7,2021,10,Balance,Ending Balance,5551
7,2021,11,Balance,Ending Balance,2241
7,2021,12,Balance,Ending Balance,7724
8,2021,1,Balance,Ending Balance,10326
8,2021,2,Balance,Ending Balance,7294
8,2021,3,Balance,Ending Balance,12072
8,2021,4,Balance,Ending Balance,10635
8,2021,5,Balance,Ending Balance,8968
8,2021,6,Balance,Ending Balance,8614
8,2021,7,Balance,Ending Balance,10651
8,2021,8,Balance,Ending Balance,6379
8,2021,9,Balance,Ending Balance,7282
8,2021,10,Balance,Ending Balance,5551
8,2021,11,Balance,Ending Balance,2241
8,2021,12,Balance,Ending Balance,7724
9,2021,1,Balance,Ending Balance,10326
9,2021,2,Balance,Ending Balance,7294
9,2021,3,Balance,Ending Balance,12072
9,2021,4,Balance,Ending Balance,8508
9,2021,5,Balance,Ending Balance,8740
9,2021,6,Balance,Ending Balance,8993
9,2021,7,Balance,Ending Balance,10651
9,2021,8,Balance,Ending Balance,6379
9,2021,9,Balance,Ending Balance,7282
9,2021,10,Balance,Ending Balance,5551
9,2021,11,Balance,Ending Balance,2241
9,2021,12,Balance,Ending Balance,7724
10,2021,1,Balance,Ending Balance,10326
10,2021,2,Balance,Ending Balance,7294
10,2021,3,Balance,Ending Balance,12072
10,2021,4,Balance,Ending Balance,8508
10,2021,5,Balance,Ending Balance,9996
10,2021,6,Balance,Ending Balance,9001
10,2021,7,Balance,Ending Balance,10651
10,2021,8,Balance,Ending Balance,6379
10,2021,9,Balance,Ending Balance,7282
10,2021,10,Balance,Ending Balance,5551
10,2021,11,Balance,Ending Balance,2241
10,2021,12,Balance,Ending Balance,7724
11,2021,1,Balance,Ending Balance,10326
11,2021,2,Balance,Ending Balance,7294
11,2021,3,Balance,Ending Balance,12072
11,2021,4,Balance,Ending Balance,8508
11,2021,5,Balance,Ending Balance,9996
11,2021,6,Balance,Ending Balance,8469
11,2021,7,Balance,Ending Balance,10651
11,2021,8,Balance,Ending Balance,6379
11,2021,9,Balance,Ending Balance,7282
11,2021,10,Balance,Ending Balance,5551
11,2021,11,Balance,Ending Balance,2241
11,2021,12,Balance,Ending Balance,7724
